"ResourceType","ResourcePrefix","ResourceCode"
"HDInsight ","kafka-","Microsoft.HDInsight/clusters"
"Integration account","ia-","Microsoft.Logic/integrationAccounts"
"IoT hub","iot-","Microsoft.Devices/IotHubs"
"Key vault","kv-","Microsoft.KeyVault/vaults"
"Load balancer ","lbe-","Microsoft.Network/loadBalancers"
"Load balancer ","lbi-","Microsoft.Network/loadBalancers"
"Load balancer rule","rule-","Microsoft.Network/loadBalancers/inboundNatRules"
"Local network gateway","lgw-","Microsoft.Network/localNetworkGateways"
"Log Analytics workspace","log-","Microsoft.OperationalInsights/workspaces"
"Logic apps","logic-","Microsoft.Logic/workflows"
"Managed disk ","disk","Microsoft.Compute/disks"
"Managed disk ","osdisk","Microsoft.Compute/disks"
"Managed Identity","id-","Microsoft.ManagedIdentity/userAssignedIdentities"
"Management group","mg-","Microsoft.Management/managementGroups"
"MySQL database","mysql-","Microsoft.DBforMySQL/servers"
"Network interface ","nic-","Microsoft.Network/networkInterfaces"
"Network security group ","nsgsr-","Microsoft.Network/networkSecurityGroups/securityRules"
"Network security group ","nsg-","Microsoft.Network/networkSecurityGroups"
"Network Watcher","nw-","Microsoft.Network/networkWatchers"
"Notification Hubs","ntf-","Microsoft.NotificationHubs/namespaces/notificationHubs"
"Notification Hubs namespace","ntfns-","Microsoft.NotificationHubs/namespaces"
"Policy definition","policy-","Microsoft.Authorization/policyDefinitions"
"PostgreSQL database","psql-","Microsoft.DBforPostgreSQL/servers"
"Power BI Embedded","pbi-","Microsoft.PowerBIDedicated/capacities"
"Provisioning services","provs-","Microsoft.Devices/provisioningServices"
"Provisioning services certificate","pcert-","Microsoft.Devices/provisioningServices/certificates"
"Public IP address","pip-","Microsoft.Network/publicIPAddresses"
"Public IP address prefix","ippre-","Microsoft.Network/publicIPPrefixes"
"Recovery Services vault","rsv-","Microsoft.RecoveryServices/vaults"
"Resource group","rg-","Microsoft.Resources/resourceGroups"
"Route filter","rf-","Microsoft.Network/routeFilters"
"Route table","rt-","Microsoft.Network/routeTables"
"Service Bus","sb-","Microsoft.ServiceBus/namespaces"
"Service Bus queue","sbq-","Microsoft.ServiceBus/namespaces/queues"
"Service Bus topic","sbt-","Microsoft.ServiceBus/namespaces/topics"
"Service endpoint","se-","Microsoft.serviceEndPointPolicies"
"Service Fabric cluster","sf-","Microsoft.ServiceFabric/clusters"
"SignalR","sigr","Microsoft.SignalRService/SignalR"
"Snapshot","snap-","Microsoft.Compute/snapshots"
"SQL Managed Instance","sqlmi-","Microsoft.Sql/managedInstances"
"SQL Server Stretch Database","sqlstrdb-","Microsoft.Sql/servers/databases"
"Static web app","stapp","Microsoft.Web/sites"
"Storage account","st","Microsoft.Storage/storageAccounts"
"Time Series Insights environment","tsi-","Microsoft.TimeSeriesInsights/environments"
"Traffic Manager profile","traf-","Microsoft.Network/trafficManagerProfiles"
"User defined route ","udr-","Microsoft.Network/routeTables/routes"
"Virtual machine","vm","Microsoft.Compute/virtualMachines"
"Virtual machine scale set","vmss-","Microsoft.Compute/virtualMachineScaleSets"
"Virtual network","vnet-","Microsoft.Network/virtualNetworks"
"Virtual network gateway","vgw-","Microsoft.Network/virtualNetworkGateways"
"Virtual network peering","peer-","Microsoft.Network/virtualNetworks/virtualNetworkPeerings"
"Virtual network subnet","snet-","Microsoft.Network/virtualNetworks/subnets"
"Virtual WAN","vwan-","Microsoft.Network/virtualWans"
"VM storage account","stvm","Microsoft.Storage/storageAccounts"
"VPN connection","cn-","Microsoft.Network/vpnGateways/vpnConnections"
"VPN Gateway","vpng-","Microsoft.Network/vpnGateways"
"VPN site","st-","Microsoft.Network/vpnGateways/vpnSites"
"Web app","app-","Microsoft.Web/sites"
"Web Application Firewall ","wafrg","Microsoft.Network/firewallPolicies/ruleGroups"
"Web Application Firewall ","waf","Microsoft.Network/firewallPolicies"
